ORIGIN,DESTINATION,TOTAL_DURATION,SCHEDULER_DECISION,DATA_TRANSFER,QUEUE,IMAGE_LOAD,DETECTION
HT4CWJT00250,HT4CWJT00250,9889,12,90,17,3,9801
HT4CWJT00250,joaquim-MS-7996,2368,46,554,11,4,1737
HT4CWJT00250,joaquim-MS-7996,3982,7,741,1406,3,1807
HT4CWJT00250,joaquim-MS-7996,5630,7,1066,2871,2,1688
HT4CWJT00250,joaquim-MS-7996,3840,10,850,1253,1,1719
HT4CWJT00250,joaquim-MS-7996,8803,11,1016,6052,2,1680
HT4CWJT00250,joaquim-MS-7996,6842,50,675,4456,0,1668
HT4CWJT00250,joaquim-MS-7996,10004,17,608,7695,1,1695
HT4CWJT00250,joaquim-MS-7996,11069,17,164,9162,2,1721
HT4CWJT00250,joaquim-MS-7996,12569,16,251,10622,2,1676
HT4CWJT00250,joaquim-MS-7996,13781,17,169,11915,1,1676
HT4CWJT00250,joaquim-MS-7996,15012,7,256,13057,2,1687
HT4CWJT00250,joaquim-MS-7996,16283,21,234,14348,2,1675
HT4CWJT00250,HT4CWJT00250,13581,19,111,3633,4,9848
HT4CWJT00250,HT4CWJT00250,21501,19,105,11505,6,9898
HT4CWJT00250,HT4CWJT00250,31949,53,114,20953,6,10852
HT4CWJT00250,compute-europe-west,1698,6,568,7,3,1106
HT4CWJT00250,compute-europe-west,1574,20,305,314,2,930
HT4CWJT00250,compute-europe-west,2149,32,328,862,2,904
HT4CWJT00250,joaquim-MS-7996,10944,9,427,8817,3,1691
HT4CWJT00250,joaquim-MS-7996,11839,10,332,9833,2,1675
HT4CWJT00250,joaquim-MS-7996,13484,10,351,11346,2,1757
HT4CWJT00250,compute-europe-west,3115,7,2192,4,2,909
HT4CWJT00250,compute-europe-west,17836,58,16862,5,1,905
HT4CWJT00250,compute-europe-west,25873,7,24148,781,3,930
HT4CWJT00250,compute-europe-west,15958,6,15012,6,1,921
HT4CWJT00250,compute-europe-west,29034,13,24884,3220,2,912
HT4CWJT00250,compute-europe-west,27897,10,24344,2622,2,919
HT4CWJT00250,compute-europe-west,23072,16,22130,11,2,909
HT4CWJT00250,compute-europe-west,32525,6,24709,6873,2,917
HT4CWJT00250,compute-europe-west,23408,11,21439,1048,2,905
HT4CWJT00250,compute-europe-west,26857,14,21680,4158,2,900
HT4CWJT00250,compute-europe-west,34797,5,22138,11729,2,926
HT4CWJT00250,compute-europe-west,27383,5,21232,5226,2,911
HT4CWJT00250,compute-europe-west,33368,21,21599,10827,2,918
HT4CWJT00250,compute-europe-west,30918,16,20834,9177,2,911
HT4CWJT00250,compute-europe-west,31335,11,20500,9908,3,916
HT4CWJT00250,compute-europe-west,20083,9,17444,1720,2,899
HT4CWJT00250,compute-europe-west,26347,18,19415,6016,2,910
HT4CWJT00250,compute-europe-west,28239,22,19008,8297,2,907
HT4CWJT00250,compute-europe-west,20155,14,15816,3425,1,896
HT4CWJT00250,compute-europe-west,25185,7,16665,7609,1,906
HT4CWJT00250,compute-europe-west,20810,5,15469,4410,2,907
HT4CWJT00250,joaquim-MS-7996,2932,7,313,905,2,1699
HT4CWJT00250,joaquim-MS-7996,4214,6,216,2315,2,1682
HT4CWJT00250,joaquim-MS-7996,5738,13,169,3865,1,1697
HT4CWJT00250,joaquim-MS-7996,7337,12,386,5210,3,1715
HT4CWJT00250,joaquim-MS-7996,8935,23,385,6838,2,1687
HT4CWJT00250,joaquim-MS-7996,8858,18,323,6809,2,1697
HT4CWJT00250,joaquim-MS-7996,7967,10,214,6086,1,1661
HT4CWJT00250,joaquim-MS-7996,9252,13,283,7250,2,1694
HT4CWJT00250,joaquim-MS-7996,10574,15,255,8556,1,1739
HT4CWJT00250,joaquim-MS-7996,11754,15,280,9744,4,1694
HT4CWJT00250,joaquim-MS-7996,13061,12,195,11170,1,1674
HT4CWJT00250,joaquim-MS-7996,14558,7,170,12682,1,1698
HT4CWJT00250,joaquim-MS-7996,15546,20,312,13477,1,1682
HT4CWJT00250,joaquim-MS-7996,16209,15,111,14415,1,1663
HT4CWJT00250,joaquim-MS-7996,16969,7,300,14963,1,1678
HT4CWJT00250,HT4CWJT00250,13702,14,59,3835,8,9784
HT4CWJT00250,HT4CWJT00250,22483,16,104,12984,6,9406
HT4CWJT00250,HT4CWJT00250,31963,17,110,22005,4,9859
HT4CWJT00250,HT4CWJT00250,40726,23,105,30090,11,10530
HT4CWJT00250,HT4CWJT00250,50270,8,97,39997,10,10191
HT4CWJT00250,joaquim-MS-7996,13685,46,296,11671,2,1667
HT4CWJT00250,joaquim-MS-7996,14543,14,352,12498,1,1680
HT4CWJT00250,joaquim-MS-7996,15625,10,338,13609,1,1676
HT4CWJT00250,joaquim-MS-7996,17222,10,363,15161,2,1675
HT4CWJT00250,joaquim-MS-7996,18525,18,237,16561,2,1692
HT4CWJT00250,compute-europe-west,12837,11,369,11569,1,886
HT4CWJT00250,joaquim-MS-7996,19341,16,263,17382,2,1676
HT4CWJT00250,joaquim-MS-7996,20720,11,223,18767,1,1692
HT4CWJT00250,joaquim-MS-7996,22244,14,261,20288,2,1687
HT4CWJT00250,joaquim-MS-7996,22918,6,249,20957,2,1699
HT4CWJT00250,joaquim-MS-7996,23656,6,307,21667,1,1680
HT4CWJT00250,joaquim-MS-7996,25301,16,395,23188,1,1686
HT4CWJT00250,compute-europe-west,9958,7,549,8508,1,892
HT4CWJT00250,compute-europe-west,8008,7,788,6303,3,906
HT4CWJT00250,compute-europe-west,8485,5,499,7077,1,899
HT4CWJT00250,compute-europe-west,8534,5,473,7134,2,917
HT4CWJT00250,compute-europe-west,11704,10,10740,13,2,927
HT4CWJT00250,compute-europe-west,25402,7,24458,13,2,920
HT4CWJT00250,compute-europe-west,17329,6,16405,5,2,908
HT4CWJT00250,compute-europe-west,19193,6,17851,422,1,922
HT4CWJT00250,compute-europe-west,18101,10,15839,1351,1,895
HT4CWJT00250,compute-europe-west,20736,6,18019,1814,1,896
HT4CWJT00250,compute-europe-west,16168,13,14459,790,3,899
HT4CWJT00250,compute-europe-west,24289,15,22324,1031,2,911
HT4CWJT00250,compute-europe-west,18018,8,16007,1092,1,894
HT4CWJT00250,compute-europe-west,17962,16,17049,5,1,898
HT4CWJT00250,compute-europe-west,22337,5,19592,1828,2,908
HT4CWJT00250,compute-europe-west,24950,7,20196,3824,2,919
HT4CWJT00250,joaquim-MS-7996,13314,6,293,11281,2,1719
HT4CWJT00250,joaquim-MS-7996,13862,10,290,11855,2,1704
HT4CWJT00250,joaquim-MS-7996,12694,15,498,10466,3,1726
HT4CWJT00250,joaquim-MS-7996,14059,8,255,12143,0,1662
HT4CWJT00250,joaquim-MS-7996,15371,6,202,13490,1,1666
HT4CWJT00250,joaquim-MS-7996,16813,10,215,14916,1,1670
HT4CWJT00250,joaquim-MS-7996,16796,30,322,14697,2,1681
HT4CWJT00250,joaquim-MS-7996,17101,18,436,14975,2,1680
HT4CWJT00250,joaquim-MS-7996,18675,11,447,16529,1,1685
HT4CWJT00250,compute-europe-west,10504,9,9073,526,1,888
HT4CWJT00250,compute-europe-west,14069,18,9993,3150,1,901
HT4CWJT00250,compute-europe-west,13038,6,9411,2623,1,898
HT4CWJT00250,joaquim-MS-7996,17059,10,254,15127,1,1665
HT4CWJT00250,joaquim-MS-7996,18469,12,328,16470,1,1665
HT4CWJT00250,joaquim-MS-7996,20107,10,466,17934,2,1690
HT4CWJT00250,joaquim-MS-7996,20770,10,335,18717,2,1689
HT4CWJT00250,joaquim-MS-7996,22097,20,226,20195,2,1669
HT4CWJT00250,joaquim-MS-7996,25418,63,690,23016,1,1674
HT4CWJT00250,joaquim-MS-7996,23606,26,565,21362,1,1673
HT4CWJT00250,joaquim-MS-7996,26898,9,719,24512,2,1676
HT4CWJT00250,joaquim-MS-7996,28508,7,646,26161,2,1701
HT4CWJT00250,joaquim-MS-7996,29062,22,181,27197,0,1661
HT4CWJT00250,joaquim-MS-7996,30602,8,209,28697,1,1664
HT4CWJT00250,joaquim-MS-7996,31621,8,285,29629,2,1693
HT4CWJT00250,joaquim-MS-7996,32840,5,214,30941,2,1684
HT4CWJT00250,joaquim-MS-7996,34342,16,252,32416,2,1672
HT4CWJT00250,joaquim-MS-7996,37653,27,410,35511,1,1703
HT4CWJT00250,joaquim-MS-7996,35862,10,324,33849,1,1680
HT4CWJT00250,HT4CWJT00250,24579,21,97,13807,5,10661
HT4CWJT00250,HT4CWJT00250,30747,7,91,20598,6,10077
HT4CWJT00250,HT4CWJT00250,40686,6,83,30462,18,10142
HT4CWJT00250,compute-europe-west,4164,5,777,2470,1,906
HT4CWJT00250,HT4CWJT00250,48463,5,108,37996,15,10374
HT4CWJT00250,HT4CWJT00250,58657,13,101,48142,14,10429
HT4CWJT00250,compute-europe-west,1896,12,509,478,2,894
HT4CWJT00250,compute-europe-west,2205,10,431,851,2,914
HT4CWJT00250,compute-europe-west,2930,11,638,1398,2,894
HT4CWJT00250,compute-europe-west,3660,14,674,2121,1,887
HT4CWJT00250,compute-europe-west,5473,54,3665,820,3,928
HT4CWJT00250,compute-europe-west,4467,48,2570,948,2,897
HT4CWJT00250,compute-europe-west,8473,10,7500,15,4,933
HT4CWJT00250,compute-europe-west,4625,12,3559,163,2,887
HT4CWJT00250,compute-europe-west,7329,15,6021,374,2,914
HT4CWJT00250,compute-europe-west,7005,15,5667,396,3,923
HT4CWJT00250,compute-europe-west,8593,6,5259,2411,2,912
HT4CWJT00250,compute-europe-west,6721,5,4047,1738,1,929
HT4CWJT00250,compute-europe-west,5572,5,3624,1039,2,900
HT4CWJT00250,compute-europe-west,7733,8,5942,868,2,911
HT4CWJT00250,compute-europe-west,6651,14,2725,3025,1,892
HT4CWJT00250,compute-europe-west,8284,15,6481,891,1,895
HT4CWJT00250,compute-europe-west,9519,15,8577,13,1,911
HT4CWJT00250,compute-europe-west,10157,9,8507,735,2,906
HT4CWJT00250,compute-europe-west,6671,14,5763,4,1,887
HT4CWJT00250,compute-europe-west,14168,14,13223,11,2,916
HT4CWJT00250,compute-europe-west,10108,8,8882,323,1,895
HT4CWJT00250,compute-europe-west,11538,16,9766,849,1,901
HT4CWJT00250,compute-europe-west,8614,6,7520,189,1,894
HT4CWJT00250,compute-europe-west,12996,13,12056,6,2,916
HT4CWJT00250,compute-europe-west,9058,13,8013,132,1,897
HT4CWJT00250,compute-europe-west,13581,12,12157,493,2,928
HT4CWJT00250,compute-europe-west,10398,13,9470,10,2,909
HT4CWJT00250,compute-europe-west,12246,54,9985,1281,2,914
HT4CWJT00250,compute-europe-west,13038,10,9972,2141,2,913
HT4CWJT00250,joaquim-MS-7996,10510,8,587,8207,2,1703
HT4CWJT00250,joaquim-MS-7996,9756,25,369,7697,2,1665
HT4CWJT00250,joaquim-MS-7996,10326,11,230,8425,1,1658
HT4CWJT00250,joaquim-MS-7996,10529,10,285,8563,1,1667
HT4CWJT00250,joaquim-MS-7996,10319,11,910,7725,2,1686
HT4CWJT00250,joaquim-MS-7996,11901,14,938,9259,2,1710
HT4CWJT00250,compute-europe-west,6849,13,2495,3453,1,886
HT4CWJT00250,joaquim-MS-7996,13454,11,944,10816,2,1694
HT4CWJT00250,joaquim-MS-7996,15007,5,862,12443,2,1696
HT4CWJT00250,compute-europe-west,5290,44,1608,2749,1,889
HT4CWJT00250,joaquim-MS-7996,15051,6,458,12889,2,1698
HT4CWJT00250,compute-europe-west,8953,19,8005,12,2,909
HT4CWJT00250,compute-europe-west,12373,6,11437,12,2,912
HT4CWJT00250,compute-europe-west,13919,8,12541,455,2,910
HT4CWJT00250,compute-europe-west,17985,18,17020,12,2,932
HT4CWJT00250,compute-europe-west,22940,14,20913,1077,3,924
HT4CWJT00250,compute-europe-west,15711,51,14309,452,2,903
HT4CWJT00250,compute-europe-west,8336,44,7395,3,1,890
HT4CWJT00250,compute-europe-west,20368,16,18567,868,2,913
HT4CWJT00250,compute-europe-west,18225,6,16821,516,1,899
HT4CWJT00250,joaquim-MS-7996,8453,5,407,6335,3,1704
HT4CWJT00250,joaquim-MS-7996,9410,11,296,7422,2,1685
HT4CWJT00250,joaquim-MS-7996,10788,13,260,8816,1,1698
